Event  ,Run Date  ,Run Number  ,Pos  ,Time  ,Age Grade  ,PB?  
Holyrood,17/05/2025,134,421,34:47:00,37.09%,PB  
Edinburgh,12/04/2025,716,463,32:29:00,39.71%,
Edinburgh,29/03/2025,714,454,32:25:00,39.79%,PB  
Alice Holt,01/02/2025,540,296,36:13:00,35.62%,
Alice Holt,28/12/2024,536,305,35:26:00,36.41%,
Edinburgh,30/11/2024,699,387,34:04:00,37.87%,PB  
Holyrood,16/11/2024,112,508,35:30:00,36.34%,PB  
Edinburgh,02/11/2024,695,529,35:41:00,36.15%,
Holyrood,31/08/2024,102,336,35:34:00,36.27%,
Holyrood,20/04/2024,84,357,35:32:00,36.30%,
Norwich,23/04/2022,543,390,33:34:00,38.43%,
